,id,lastFundingIndex,margin,lastPrice,size,account,marketKey
604,60102,236331,52216666666666667115,1221835000000000000000,128208800697311830,0x1bdb02b920081cf15fd16cbf84a6558de088a2ce,sETH
658,60157,236551,57166666666666667005,1216220000000000000000,141010672411241387,0x6aac6ae5c4a27d0322a3d31829b9d1cb63cc21af,sETH
697,60207,236764,51408000000000000250,1215625100000000000000,105723384619156021,0x2c3c100ab800cfa2f1c59dc0ff668ea9b6053c6f,sETH
293,58539,229815,50915000000000000163,1191975000000000000000,85429644078105664,0xf78eeda4407e0719376e43328e980638c7e3e038,sETH
36,57040,223647,100000000000000000075,1158740000000000000000,-86300636898700312,0x205062e0d267909df872e4c2d120151051f9e678,sETH
543,56335,220675,93636363636363636424,1083120000000000000000,95095649604845261,0x58b38b89edf7970fe4b8b9ea1d48479f4b0e9074,sETH
787,56680,222138,54794000000000000893,1129870000000000000000,242479223273473939,0x8dcc573c3219a479c0c06c3ba50c3e2cd482b2ae,sETH
102,54415,212802,54500000000000000034,1173570000000000000000,92878993157630137,0x53f99e3d4b2e23520183f5d5850dfde2f784ef6e,sETH
257,54625,213631,100894783055117603773,1159700000000000000000,87068965517241379,0x84c53d5234d385f5843653d6395cce632f4a1de4,sETH
465,61158,240636,101000000000000001105,1213030000000000000000,-83262573885229549,0xb6407339ffcb3c4c7224f4fd897da55c1166fff8,sETH
612,55102,215625,101201271728899012288,1122310000000000000000,90443628851375796,0x9eb5f0285787ac20b8f0797a93b2de69ac4b9f9e,sETH
801,54019,211212,104000000000000000305,1208205000000000000000,86078107605911248,0x415af15518fca4ccae3151252938a7c151fff60b,sETH
258,62718,246999,50000000000000000158,1169561987080000000000,-42751047445405658,0x18158af158019f6694882aac71630dde13d40c56,sETH
823,166082,663218,51000000000000001212,1544496200000000000000,66040952383048919,0xe83293adef13fd8b1a1085c6819b6b9c0d7ff8b8,sETH
